Terminal log file Date: 15.02.2022 - 18:46:57
baud rate: 77000, data bits 8, parity: none, Stop bit: 1  
5A 00 A0 FE D8 11 6A 12 FF 01 11 
5A 00 A1 FE E8 11 6A 12 FF 01 20 
5A 00 A1 FE F8 11 6A 12 FF 01 30 
5A 00 A2 FF 07 11 6A 12 FF 01 CD 
5A 00 A3 FF 17 11 6A 12 FF 01 DC 
5A 00 A4 FF 27 11 6A 12 FF 01 EB 
5A 00 A5 FF 37 11 6A 12 FF 01 FA 
5A 00 A6 FF 47 11 6A 12 FF 01 89 
5A 00 A7 FF 57 11 6A 12 FF 01 98 
5A 00 A8 FF 67 11 6A 12 FF 01 A7 
5A 00 A8 FF 77 11 6A 12 FF 01 B7 
5A 00 A9 FF 87 11 6A 12 FF 01 46 
5A 00 AA FF 97 11 6A 12 FF 01 55 
5A 00 AB FF A7 11 6A 12 FF 01 64 
5A 00 AC FF B7 11 6A 12 FF 01 73 
5A 00 AC FF C6 11 6A 12 FF 01 02 
5A 00 AD FF D6 11 6A 12 FF 01 13 
5A 00 AE FF E5 11 6A 12 FF 01 23 
5A 00 AF FF F5 11 6A 12 FF 01 32 
5A 00 B0 00 03 11 6A 12 FF 01 24 
5A 00 B0 00 12 11 6A 12 FF 01 35 
5A 00 B1 00 22 11 6A 12 FF 01 04 
5A 00 B2 00 31 11 6A 12 FF 01 14 
5A 00 B3 00 40 11 6A 12 FF 01 64 
5A 00 B4 00 4F 11 6A 12 FF 01 6C 
5A 00 B5 00 5E 11 6A 12 FF 01 7C 
5A 00 B6 00 6C 11 6A 12 FF 01 4D 
5A 00 B7 00 7B 11 6A 12 FF 01 5B 
5A 00 B8 00 8A 11 6A 12 FF 01 A5 
5A 00 B9 00 99 11 6A 12 FF 01 B7 
5A 00 BA 00 A8 11 6A 12 FF 01 85 
5A 00 BB 00 B6 11 6A 12 FF 01 9A 
5A 00 BB 00 C5 11 6A 12 FF 01 E9 
5A 00 BC 00 D3 11 6A 12 FF 01 F8 
5A 00 BC 00 E1 11 6A 12 FF 01 CA 
5A 00 BB 00 EF 11 6A 12 FF 01 C3 
5A 00 BB 00 FD 11 6A 12 FF 01 D1 
5A 00 BB 01 0B 11 6A 12 FF 01 26 
5A 00 BB 01 19 11 6A 12 FF 01 34 
5A 00 BB 01 27 11 6A 12 FF 01 0A 
5A 00 BA 01 34 11 6A 12 FF 01 18 
5A 00 BA 01 42 11 6A 12 FF 01 6E 
5A 00 BA 01 4F 11 6A 12 FF 01 63 
5A 00 BA 01 5C 11 6A 12 FF 01 70 
5A 00 BB 01 69 11 6A 12 FF 01 44 
5A 00 BB 01 77 11 6A 12 FF 01 5A 
5A 00 BB 01 83 11 6A 12 FF 01 AE 
5A 00 BB 01 90 11 6A 12 FF 01 BD 
5A 00 BB 01 9D 11 6A 12 FF 01 B0 
5A 00 BB 01 A9 11 6A 12 FF 01 84 
5A 00 BB 01 B5 11 6A 12 FF 01 98 
5A 00 BB 01 C1 11 6A 12 FF 01 EC 
5A 00 BB 01 CD 11 6A 12 FF 01 E0 
5A 00 BB 01 D9 11 6A 12 FF 01 F4 
5A 00 BB 01 E5 11 6A 12 FF 01 C8 
5A 00 BB 01 F1 11 6A 12 FF 01 DC 
5A 00 BB 01 FC 11 6A 12 FF 01 D1 
5A 00 BC 02 07 11 6A 12 FF 01 2E 
5A 00 BC 02 13 11 6A 12 FF 01 3A 
5A 00 BC 02 1E 11 6A 12 FF 01 37 
5A 00 BD 02 29 11 6A 12 FF 01 01 
5A 00 BD 02 34 11 6A 12 FF 01 1C 
5A 00 BD 02 3E 11 6A 12 FF 01 16 
5A 00 BD 02 49 11 6A 12 FF 01 61 
5A 00 BD 02 54 11 6A 12 FF 01 7C 
5A 00 BE 02 5F 11 6A 12 FF 01 74 
5A 00 BE 02 69 11 6A 12 FF 01 42 
5A 00 BE 02 73 11 6A 12 FF 01 58 
5A 00 BE 02 7E 11 6A 12 FF 01 55 
5A 00 BF 02 88 11 6A 12 FF 01 A2 
5A 00 BF 02 93 11 6A 12 FF 01 B9 
5A 00 BF 02 9D 11 6A 12 FF 01 B7 
5A 00 BF 02 A7 11 6A 12 FF 01 8D 
5A 00 BF 02 B1 11 6A 12 FF 01 9B 
5A 00 BF 02 BB 11 6A 12 FF 01 91 
5A 00 C0 02 C5 11 6A 12 FF 01 90 
5A 00 C0 02 D0 11 6A 12 FF 01 85 
5A 00 C0 02 DA 11 6A 12 FF 01 8F 
5A 00 C1 02 E4 11 6A 12 FF 01 B0 
5A 00 C1 02 EE 11 6A 12 FF 01 BA 
5A 00 C2 02 F8 11 6A 12 FF 01 AF 
5A 00 C2 03 02 11 6A 12 FF 01 54 
5A 00 C3 03 0C 11 6A 12 FF 01 5B 
5A 00 C3 03 16 11 6A 12 FF 01 41 
5A 00 C4 03 1F 11 6A 12 FF 01 4F 
5A 00 C5 03 29 11 6A 12 FF 01 78 
5A 00 C5 03 33 11 6A 12 FF 01 62 
5A 00 C6 03 3D 11 6A 12 FF 01 6F 
5A 00 C6 03 47 11 6A 12 FF 01 15 
5A 00 C6 03 51 11 6A 12 FF 01 03 
5A 00 C7 03 5B 11 6A 12 FF 01 08 
5A 00 C7 03 65 11 6A 12 FF 01 36 
5A 00 C8 03 6F 11 6A 12 FF 01 33 
5A 00 C8 03 79 11 6A 12 FF 01 25 
5A 00 C9 03 82 11 6A 12 FF 01 DF 
5A 00 CA 03 8C 11 6A 12 FF 01 D2 
5A 00 CB 03 96 11 6A 12 FF 01 C9 
5A 00 CC 03 A0 11 6A 12 FF 01 F8 
5A 00 CD 03 AA 11 6A 12 FF 01 F3 
5A 00 CD 03 B4 11 6A 12 FF 01 ED 
5A 00 CE 03 BF 11 6A 12 FF 01 E5 
5A 00 CE 03 C9 11 6A 12 FF 01 93 
5A 00 CE 03 D3 11 6A 12 FF 01 89 
5A 00 CF 03 DE 11 6A 12 FF 01 85 
5A 00 CF 03 E9 11 6A 12 FF 01 B2 
5A 00 CF 03 F3 11 6A 12 FF 01 A8 
5A 00 CF 03 FE 11 6A 12 FF 01 A5 
5A 00 CF 04 09 11 6A 12 FF 01 55 
5A 00 CF 04 14 11 6A 12 FF 01 48 
5A 00 CF 04 1F 11 6A 12 FF 01 43 
5A 00 CF 04 2A 11 6A 12 FF 01 76 
5A 00 CF 04 35 11 6A 12 FF 01 69 
5A 00 CF 04 41 11 6A 12 FF 01 1D 
5A 00 CF 04 4C 11 6A 12 FF 01 10 
5A 00 CF 04 58 11 6A 12 FF 01 04 
5A 00 D0 04 63 11 6A 12 FF 01 20 
5A 00 D0 04 6F 11 6A 12 FF 01 2C 
5A 00 D0 04 7B 11 6A 12 FF 01 38 
5A 00 D0 04 87 11 6A 12 FF 01 C4 
5A 00 D0 04 93 11 6A 12 FF 01 D0 
5A 00 D0 04 9F 11 6A 12 FF 01 DC 
5A 00 D0 04 AB 11 6A 12 FF 01 E8 
5A 00 D0 04 B7 11 6A 12 FF 01 F4 
5A 00 D0 04 C3 11 6A 12 FF 01 80 
5A 00 D1 04 CF 11 6A 12 FF 01 8D 
5A 00 D1 04 DC 11 6A 12 FF 01 9E 
5A 00 D2 04 E8 11 6A 12 FF 01 A9 
5A 00 D2 04 F5 11 6A 12 FF 01 B4 
5A 00 D3 05 01 11 6A 12 FF 01 40 
5A 00 D4 05 0E 11 6A 12 FF 01 48 
5A 00 D5 05 1A 11 6A 12 FF 01 5D 
5A 00 D6 05 27 11 6A 12 FF 01 63 
5A 00 D7 05 33 11 6A 12 FF 01 76 
5A 00 D8 05 40 11 6A 12 FF 01 0A 
5A 00 DA 05 4D 11 6A 12 FF 01 05 
5A 00 DB 05 5A 11 6A 12 FF 01 13 
5A 00 DC 05 66 11 6A 12 FF 01 28 
5A 00 DD 05 73 11 6A 12 FF 01 3C 
5A 00 DF 05 7F 11 6A 12 FF 01 32 
5A 00 E0 05 8C 11 6A 12 FF 01 FE 
5A 00 E1 05 99 11 6A 12 FF 01 EA 
5A 00 E1 05 A5 11 6A 12 FF 01 D6 
5A 00 E2 05 B2 11 6A 12 FF 01 C2 
5A 00 E2 05 BE 11 6A 12 FF 01 CE 
5A 00 E3 05 CB 11 6A 12 FF 01 BA 
5A 00 E4 05 D7 11 6A 12 FF 01 A1 
5A 00 E5 05 E3 11 6A 12 FF 01 94 
5A 00 E5 05 F0 11 6A 12 FF 01 87 
5A 00 E6 05 FC 11 6A 12 FF 01 88 
5A 00 E7 06 08 11 6A 12 FF 01 7E 
5A 00 E8 06 14 11 6A 12 FF 01 6D 
5A 00 E8 06 20 11 6A 12 FF 01 59 
5A 00 E9 06 2C 11 6A 12 FF 01 54 
5A 00 EA 06 38 11 6A 12 FF 01 43 
5A 00 EA 06 44 11 6A 12 FF 01 3F 
5A 00 EB 06 50 11 6A 12 FF 01 2A 
5A 00 EC 06 5B 11 6A 12 FF 01 26 
5A 00 EC 06 67 11 6A 12 FF 01 1A 
5A 00 ED 06 72 11 6A 12 FF 01 0E 
5A 00 EE 06 7E 11 6A 12 FF 01 01 
5A 00 EE 06 89 11 6A 12 FF 01 F6 
5A 00 EE 06 94 11 6A 12 FF 01 EB 
5A 00 EF 06 9F 11 6A 12 FF 01 E1 
5A 00 EF 06 AA 11 6A 12 FF 01 D4 
5A 00 EF 06 B4 11 6A 12 FF 01 CA 
5A 00 EF 06 BF 11 6A 12 FF 01 C1 
5A 00 EF 06 C9 11 6A 12 FF 01 B7 
5A 00 EF 06 D4 11 6A 12 FF 01 AA 
5A 00 EF 06 DE 11 6A 12 FF 01 A0 
5A 00 F0 06 E8 11 6A 12 FF 01 89 
5A 00 F0 06 F2 11 6A 12 FF 01 93 
5A 00 F0 06 FC 11 6A 12 FF 01 9D 
5A 00 F0 07 06 11 6A 12 FF 01 66 
5A 00 F0 07 0F 11 6A 12 FF 01 6F 
5A 00 F0 07 19 11 6A 12 FF 01 79 
5A 00 F0 07 22 11 6A 12 FF 01 42 
5A 00 F0 07 2B 11 6A 12 FF 01 4B 
5A 00 F0 07 34 11 6A 12 FF 01 54 
5A 00 F0 07 3D 11 6A 12 FF 01 5D 
5A 00 F0 07 46 11 6A 12 FF 01 26 
5A 00 F1 07 4E 11 6A 12 FF 01 2F 
5A 00 F1 07 57 11 6A 12 FF 01 36 
5A 00 F1 07 5F 11 6A 12 FF 01 3E 
5A 00 F1 07 67 11 6A 12 FF 01 06 
5A 00 F1 07 70 11 6A 12 FF 01 11 
5A 00 F0 07 78 11 6A 12 FF 01 18 

норамльное положение горизонт оба сенора включены

5A 00 AC F9 96 11 6A 12 FF 01 54 
5A 00 AC F9 96 11 6A 12 FF 01 54 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57 
5A 00 AC F9 95 11 6A 12 FF 01 57

нормальное положение один сенсор
5A 00 9E FA EB 11 6A 12 FF 01 18 
5A 00 9E FA EB 11 6A 12 FF 01 18 
5A 00 9E FA EA 11 6A 12 FF 01 19 
5A 00 9E FA EA 11 6A 12 FF 01 19 
5A 00 9E FA E9 11 6A 12 FF 01 1A 
5A 00 9E FA E8 11 6A 12 FF 01 1B 
5A 00 9E FA E8 11 6A 12 FF 01 1B 
5A 00 9E FA E7 11 6A 12 FF 01 14 
5A 00 9F FA E7 11 6A 12 FF 01 15

5A 00 AB FA BB 11 6A 12 FF 01 7D 
5A 00 AB FA BB 11 6A 12 FF 01 7D 
5A 00 AB FA BA 11 6A 12 FF 01 7C 
5A 00 AB FA BA 11 6A 12 FF 01 7C 
5A 00 AB FA B9 11 6A 12 FF 01 7F 
5A 00 AB FA B9 11 6A 12 FF 01 7F 
5A 00 AB FA B8 11 6A 12 FF 01 7E 
5A 00 AB FA B8 11 6A 12 FF 01 7E

наклон 5

5A 00 95 FA 5B 11 6A 12 FF 01 A3 
5A 00 95 FA 5B 11 6A 12 FF 01 A3 
5A 00 96 FA 5B 11 6A 12 FF 01 A0 
5A 00 95 FA 5A 11 6A 12 FF 01 A2 
5A 00 96 FA 5A 11 6A 12 FF 01 A1 
5A 00 96 FA 5A 11 6A 12 FF 01 A1 
5A 00 96 FA 5A 11 6A 12 FF 01 A1 
5A 00 96 FA 5A 11 6A 12 FF 01 A1 
5A 00 96 FA 5A 11 6A 12 FF 01 A1 

наклон 10

5A FF E8 FE 03 11 6A 12 FF 01 7D 
5A FF E8 FE 02 11 6A 12 FF 01 7C 
5A FF E8 FE 02 11 6A 12 FF 01 7C 
5A FF E8 FE 01 11 6A 12 FF 01 7F 
5A FF E8 FE 01 11 6A 12 FF 01 7F 
5A FF E8 FE 00 11 6A 12 FF 01 7E 
5A FF E8 FE 00 11 6A 12 FF 01 7E 
5A FF E8 FD FF 11 6A 12 FF 01 82 
5A FF E8 FD FE 11 6A 12 FF 01 83


